table_name,generated_metadata,business_domain,table_purpose,retrieval_description,keywords,example_questions,business_domain_better
D001001,"{'primary_entity': 'Branch Master', 'domain': 'Branch'}","Banking & Financial Services",Branch operational master details and status logs.,Branch parameters and location search.,"{Branch, LBRCODE, Operational, Location}","{What is the active status of a specific bank branch code?,Banking & Financial Services}","Banking & Financial Services"
D002007,"{'primary_entity': 'User Session', 'domain': 'User Logs'}","User Authentication System",User session login activities and access audit.,Password update and activity tracking.,"{Login, Audit, USERCODE, Timestamp}","{Show login activity for a specific user based on his USERCODE?,Security & Identity Management}","User Authentication System"
D035066,"{'primary_entity': 'ATM Txn', 'domain': 'Transactions'}","Banking and Financial Services",ATM transaction processing and ledger updates.,ATM reconciliation and financial reporting.,"{ATM, GST, Reconciliation, Audit}","{Find transaction details for a specific bank branch code.,Banking & Financial Services}","Banking & Financial Services"
D010004,"{'primary_entity': 'Account Master', 'domain': 'Accounts'}","Core Banking Operations",Customer account profiles and live balances.,Account summary and balance lookups.,"{Account, Balance, CUST_ID, Deposit}","{What is the current balance and account type for account 100001?,Core Banking Operations}","Banking & Financial Services"
D020010,"{'primary_entity': 'Customer Profile', 'domain': 'Customer Data'}","Customer Relationship Management",Customer demographic information and national ID records.,PII search and customer identification.,"{Customer, PII, Demographics, Identity}","{Fetch demographic details and ID records for CUST_ID 501?,Customer Relationship Management}","Customer Relationship Management"
D009081,"{'primary_entity': 'System Config', 'domain': 'Configuration'}","System Administration & Security",Application runtime parameters and timeout rules.,System configuration settings lookup.,"{Config, Timeout, Security, System}","{What is the current system session timeout setting?,System Administration & Security}","System Administration & Security"
ATMMASTER,"{'primary_entity': 'ATM Registry', 'domain': 'Hardware'}","Terminal & Hardware Management",Physical ATM terminal locations and network status.,Terminal device status and hardware tracking.,"{ATM, Terminal, Hardware, Location}","{Which ATM terminals are currently online in Branch 101?,Terminal & Hardware Management}","Terminal & Hardware Management"
D080204,"{'primary_entity': 'Ledger Snapshot', 'domain': 'General Ledger'}","Accounting & Financial Reporting",Daily closing balances and accrued interest history.,Ledger snapshot and balance history.,"{Ledger, Snapshot, Interest, Closing}","{Show the daily closing balance for account 100001 on 2026-02-28?,Accounting & Financial Reporting}","Accounting & Financial Reporting"
D030421,"{'primary_entity': 'Cheque Record', 'domain': 'Clearing'}","Payment & Clearing Operations",Issued cheque leaf tracking and clearance flags.,Cheque clearance status verification.,"{Cheque, Clearance, Status, Amount}","{What is the clearance status of cheque number 40012?,Payment & Clearing Operations}","Payment & Clearing Operations"
D071031,"{'primary_entity': 'Loan Schedule', 'domain': 'Lending'}","Financial Services - Loan Management",Loan repayment schedules and installment tracking.,Overdue loan installment tracking.,"{Loan, Installment, Due Date, Repayment}","{List all overdue loan installments for a specific loan account?,Banking & Financial Services - Loan Management}","Banking & Financial Services"
