table_name,generated_metadata,business_domain,table_purpose,retrieval_description,keywords,example_questions
D001001,"{'primary_entity': 'Branch', 'domain': 'Branch Master'}",Core Banking,Stores branch operational parameters and location metadata.,Retrieve branch location and active operational status.,"{Branch, LBRCODE, Operational, Location}", "{What is the active status of a specific bank branch code?,Banking & Financial Services}"
D002007,"{'primary_entity': 'User Session', 'domain': 'Audit Logs'}",User Authentication,Tracks user login timestamps and system interactions.,Query user login activity and verify session security.,"{Login, Audit, USERCODE, Timestamp}", "{Show login activity for a specific user based on his USERCODE?,Security & Identity Management}"
D035066,"{'primary_entity': 'ATM Transaction', 'domain': 'Payments'}",Financial Services,Logs ATM transaction details including amounts and statuses.,Retrieve ATM transaction records and reconciliation information.,"{ATM, GST, Reconciliation, Audit}", "{Find transaction details for a specific bank branch code.,Banking & Financial Services}"
D010004,"{'primary_entity': 'Account Profile', 'domain': 'Accounts'}",Core Banking,Maintains customer account profiles and live balances.,Retrieve active customer account details and current balances.,"{Account, Balance, CUST_ID, Deposit}", "{What is the current balance and account type for account 100001?,Core Banking Operations}"
D020010,"{'primary_entity': 'Customer Profile', 'domain': 'Customer Data'}",Customer Management,Stores demographic info and national identity details.,Query customer personal profiles and demographic data.,"{Customer, PII, Demographics, Identity}", "{Fetch demographic details and ID records for CUST_ID 501?,Customer Relationship Management}"
D009081,"{'primary_entity': 'System Config', 'domain': 'System Operations'}",System Administration,Holds application configurations and timeout settings.,Fetch system config parameters and security thresholds.,"{Config, Timeout, Security, System}", "{What is the current system session timeout setting?,System Administration & Security}"
ATMMASTER,"{'primary_entity': 'ATM Registry', 'domain': 'Hardware'}",Terminal Management,Tracks physical ATM terminal locations and network status.,Retrieve terminal device types and network online flags.,"{ATM, Terminal, Hardware, Location}", "{Which ATM terminals are currently online in Branch 101?,Terminal & Hardware Management}"
D080204,"{'primary_entity': 'Ledger Snapshot', 'domain': 'General Ledger'}",Accounting,Records daily closing balances and accrued interest.,Query daily account snapshots and ledger history.,"{Ledger, Snapshot, Interest, Closing}", "{Show the daily closing balance for account 100001 on 2026-02-28?,Accounting & Financial Reporting}"
D030421,"{'primary_entity': 'Cheque Record', 'domain': 'Clearing'}",Payment Operations,Tracks issued cheques and clearance status flags.,Fetch cheque status and issuance tracking details.,"{Cheque, Clearance, Status, Amount}", "{What is the clearance status of cheque number 40012?,Payment & Clearing Operations}"
D071031,"{'primary_entity': 'Loan Schedule', 'domain': 'Lending'}",Loan Management,Stores installment dates and loan interest schedules.,Retrieve upcoming loan installment due dates and payment flags.,"{Loan, Installment, Due Date, Repayment}", "{List all overdue loan installments for account 80001?,Financial Services - Loan Management}"
